"","LIBNAME","STABR","C_LEGBAS","POPU_LSA","CENTLIB","BRANLIB","BKMOB","MASTER","LIBRARIA","TOTINCM","CAP_REV","PRMATEXP","ELMATEXP","OTHMATEX","CAPITAL","BKVOL","EBOOK","VIDEO_PH","AUDIO_PH","VIDEO_DL","AUDIO_DL","VISITS","REGBOR","ELMATCIR","PHYSCIR","KIDCIRCL","PITUSR","LOANTO","LOANFM"
"1","ANCHOR POINT PUBLIC LIBRARY","AK","NP",2105,1,0,0,0,0,71874,0,4072,0,747,0,19307,0,3594,186,0,0,5127,1950,0,8684,2660,1074,0,30
"2","ANCHORAGE PUBLIC LIBRARY","AK","CO",291247,1,4,0,15,15,9357471,0,352940,563082,142800,0,293474,45520,55599,25587,22,20522,261807,123846,389911,490979,187776,36485,0,0
"3","ANDERSON COMMUNITY LIBRARY","AK","CI",177,1,0,0,0,0,13885,0,1017,258,1660,0,15518,0,1393,266,0,0,421,138,7,759,361,93,5,0
"4","KUSKOKWIM CONSORTIUM LIBRARY","AK","MJ",6325,1,0,0,1,1,138115,0,14872,1750,0,0,34236,23671,4988,2158,0,12669,12817,2062,1576,8404,3423,1902,0,0
"5","BIG LAKE PUBLIC LIBRARY","AK","MJ",10066,1,0,0,1,2,417502,0,30000,0,2975,0,20241,23671,3085,1598,0,12669,27063,2867,0,28701,14473,4252,64,59
"6","CANTWELL COMMUNITY LIBRARY","AK","CO",196,1,0,0,0,0,23932,0,5185,227,1125,0,10794,23671,741,335,0,12669,480,170,117,658,221,1,0,0
"7","CHINIAK PUBLIC LIBRARY","AK","NP",61,1,0,0,0,0,20088,0,1744,275,1543,0,4380,226,1200,60,0,14,2054,90,109,2194,450,527,0,0
"8","COLD BAY PUBLIC LIBRARY","AK","CI",50,1,0,0,0,0,42651,0,1521,100,2189,0,2052,0,1758,249,0,0,1196,136,0,1722,54,58,0,0
"9","COOPER LANDING COMMUNITY LIBRARY","AK","NP",344,1,0,0,0,0,40903,0,3551,1090,643,0,3715,0,1048,0,0,0,1155,135,325,24,0,355,0,42
"10","CORDOVA PUBLIC LIBRARY","AK","NP",2609,1,0,0,0,3,656061,0,17442,1900,0,0,22196,23671,1676,626,0,12669,11475,3006,3505,9657,5778,1582,1,240
"11","CRAIG PUBLIC LIBRARY","AK","CI",1036,1,0,0,0,0.82,136441,0,6750,0,2045,0,11106,23559,3795,509,0,11976,5472,1991,1274,15980,5060,1104,0,412
"12","DELTA COMMUNITY LIBRARY","AK","CI",918,1,0,0,0,1,305240,0,9132,0,3919,0,12756,23671,3531,603,0,12674,35949,3366,6822,33179,19325,2374,59,739
"13","DILLINGHAM PUBLIC LIBRARY","AK","CI",2249,1,0,0,0,1.3,178831,0,3441,1750,2717,0,39343,23671,8256,0,0,12669,3568,3777,1083,5518,0,757,0,127
"14","EAGLE PUBLIC LIBRARY","AK","CI",83,1,0,0,0,0.45,20494,0,1800,300,2400,0,9954,2,3874,590,0,0,1020,220,212,3519,0,153,0,0
"15","FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES","AK","NL",95655,1,1,1,13.12,14.85,5820395,1523666,410707,226039,45290,32133,274520,824478,40993,24629,79660,727035,203237,42522,121270,416997,163235,14538,774,660
"16","CHARLES EVANS COMMUNITY/SCHOOL LIBRARY","AK","CO",472,1,0,0,0,0,40087,0,2211,0,1287,0,9204,0,827,100,0,0,2664,532,0,7549,2256,448,0,27
"17","COPPER VALLEY COMMUNITY LIBRARY","AK","CI",439,1,0,0,0,0,37676,0,6870,481,403,0,23020,23671,3108,1104,0,12669,1560,697,1111,4907,1584,516,0,150
"18","GUSTAVUS PUBLIC LIBRARY","AK","CI",655,1,0,0,0,1.25,134602,0,13868,554,1168,0,12648,23671,2164,0,0,12669,3327,643,1463,8487,3716,193,0,147
"19","HAINES BOROUGH PUBLIC LIBRARY","AK","CI",2080,1,0,0,0,3,524763,0,17834,1750,4925,0,25433,23671,5611,1724,0,12669,37500,3198,3891,84289,0,7171,70,82
"20","TRI-VALLEY COMMUNITY LIBRARY","AK","CO",966,1,0,0,0,0,49417,0,9866,1082,286,0,23717,23567,1509,383,0,12297,1162,1057,3156,434,368,157,0,63
"21","HOLLIS PUBLIC LIBRARY","AK","NP",65,1,0,0,0,0,10012,0,1834,0,1750,0,5729,0,2494,20,0,20,1724,302,0,2278,48,121,0,0
"22","HOMER PUBLIC LIBRARY","AK","CI",5522,1,0,0,2,2,996154,40000,45886,17224,12235,26966,44639,23671,4955,2025,0,12669,67357,10747,25186,104398,43757,9026,225,251
"23","HOPE SUNRISE COMMUNITY LIBRARY","AK","CI",161,1,0,0,0,0,32225,0,2822,0,1138,0,4896,0,2536,235,0,0,1541,170,0,757,142,260,0,30
"24","JUNEAU PUBLIC LIBRARIES","AK","NL",32255,1,2,0,4.75,4.75,3091966,0,92207,64378,16767,0,108437,32068,7136,6351,53389,502699,137339,17698,33139,178663,81814,17706,16,332
"25","KASILOF PUBLIC LIBRARY","AK","CO",525,1,0,0,0,0.34,16448,0,3015,0,533,0,11761,0,393,170,0,0,2548,93,0,4426,1071,277,0,0
"26","KENAI COMMUNITY LIBRARY","AK","NP",7424,1,0,0,1,2,976959,0,55494,11492,11321,0,62270,23671,3790,1636,0,12669,48220,6822,17283,80224,30363,5535,0,10
"27","KETCHIKAN PUBLIC LIBRARY","AK","NP",13948,1,0,0,3,3.6,1278869,0,65466,16712,4939,0,52889,23595,7001,3763,0,12771,33824,9005,21378,60789,30403,3498,338,124
"28","KODIAK PUBLIC LIBRARY","AK","MJ",12761,1,0,0,3,3,935206,0,19621,10550,11100,0,65642,23671,4435,2848,0,7120,34780,9360,11367,41179,19892,2707,87,37
"29","CHUKCHI CONSORTIUM LIBRARY","AK","CI",3102,1,0,0,1,1,13000,0,6662,0,338,0,12623,0,2093,254,0,0,1259,1254,0,1262,48,623,0,0
"30","MCGRATH COMMUNITY LIBRARY","AK","NP",301,1,0,0,0,0,46740,0,1749,800,1020,0,14128,23671,1677,79,0,12669,190,384,0,781,320,50,0,57
"31","CENTENNIAL LIBRARY","AK","NP",1454,1,0,0,0,0,51446,0,4307,289,1037,0,16891,23671,565,229,0,12669,1040,500,103,5,0,800,0,15
"32","MARTIN MONSEN REGIONAL LIBRARY","AK","NP",844,1,1,0,0,1,494200,0,7538,0,2929,0,15856,0,4661,224,0,0,7359,407,250,11807,891,1503,0,15
"33","NENANA PUBLIC LIBRARY","AK","CO",482,1,0,0,0,0,24500,0,2500,0,1000,0,9975,0,2903,609,0,0,350,86,0,3950,3000,300,0,0
"34","NINILCHIK COMMUNITY LIBRARY","AK","CI",845,1,0,0,0,0,40039,0,1846,1923,1985,0,12963,20000,2048,952,0,0,3041,602,1161,5549,353,540,0,75
"35","KEGOAYAH KOZGA LIBRARY","AK","NP",3699,1,0,0,0,1,339463,0,26816,650,1988,0,26347,23671,2077,578,0,12669,5000,2944,1617,6043,4440,623,0,16
"36","PALMER PUBLIC LIBRARY","AK","NL",28295,1,0,0,1,1,633858,0,38837,0,0,0,61821,23671,5244,3306,0,12669,38568,9784,98113,85703,46433,1766,225,32
"37","PELICAN PUBLIC LIBRARY","AK","CO",98,1,0,0,0,0,31719,0,925,0,6075,0,9902,0,4145,0,0,0,2080,270,0,1951,126,542,0,0
"38","PETERSBURG PUBLIC LIBRARY","AK","CI",3398,1,0,0,1,3,520603,2520,17130,1998,13885,2520,21929,23671,7216,670,0,12669,30000,2897,4651,55907,0,2304,0,12
"39","JESSIE WAKEFIELD MEMORIAL LIBRARY","AK","CI",170,1,0,0,0,0.33,32808,0,976,0,1886,0,10702,0,1793,245,0,0,2040,164,0,5252,347,90,5,438
"40","SELDOVIA PUBLIC LIBRARY","AK","CI",235,1,0,0,0,0,14000,0,3013,0,1537,0,9604,0,2496,234,0,0,2082,383,0,2084,450,216,0,4
"41","SEWARD COMMUNITY LIBRARY AND MUSEUM","AK","NP",2717,1,0,0,0,4,616043,0,8756,8011,2484,0,22152,23671,5040,1174,0,12669,84215,1327,6364,0,0,7092,0,0
"42","SITKA PUBLIC LIBRARY","AK","CI",8458,1,0,0,1,5,1094476,0,47958,4700,19881,0,46023,23671,7008,2419,29157,12669,68595,5241,10564,65115,26014,3553,125,95
"43","SKAGWAY PUBLIC LIBRARY","AK","CO",1164,1,0,0,0,1,306266,0,7373,2492,659,0,9867,23671,1559,183,29236,12669,9959,546,2262,6723,2594,2659,25,71
"44","JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY","AK","CI",4342,1,0,0,1,1,906741,0,63187,5000,6500,0,49880,23671,5839,4052,0,12669,67347,10860,25926,120105,62661,6512,1,12
"45","SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER","AK","MJ",4758,1,0,0,0,1.8,361899,0,15448,500,2719,0,20498,23671,2887,1233,0,12669,16494,1582,98113,17689,8994,1449,43,22
"46","TAKOTNA COMMUNITY LIBRARY","AK","NP",56,1,0,0,0,0,15000,0,3500,0,0,0,3500,0,0,0,0,0,36,50,0,29,0,10,0,0
"47","TALKEETNA PUBLIC LIBRARY","AK","CO",7635,1,0,0,0.88,1.88,455165,0,34690,0,2655,0,24294,0,5870,1639,0,0,28398,5678,0,41965,8443,2437,60,45
"48","TANANA COMMUNITY/SCHOOL LIBRARY","AK","CI",246,1,0,0,0,0.24,7000,0,1413,0,1822,0,9414,177,956,250,0,0,1197,218,97,2168,502,130,0,0
"49","DERMOTT O`TOOLE MEMORIAL LIBRARY","AK","CO",116,1,0,0,0,0,27309,0,1917,169,1999,0,7278,0,0,4665,0,0,682,132,312,2057,478,9,0,102
"50","TOK COMMUNITY LIBRARY","AK","CI",1243,1,0,0,0,0,30944,0,4764,814,349,0,6485,21587,1163,674,0,12992,1842,450,569,1410,457,451,0,0
"51","VALDEZ CONSORTIUM LIBRARY","AK","CI",3985,1,0,0,2,2,685973,0,17957,1000,2100,385442,32133,24340,2381,1105,0,12928,18699,3880,3790,17807,5285,1158,17,10
"52","WASILLA PUBLIC LIBRARY","AK","MJ",48422,1,0,0,3,3,1428986,18741,75430,15240,12083,18741,62074,23671,4517,3337,0,12669,85306,15597,98113,193835,98185,13657,268,140
"53","WILLOW PUBLIC LIBRARY","AK","CI",4941,1,0,0,0,1.88,395245,0,22602,500,1650,0,19675,23671,4574,1523,0,12669,13144,1929,98113,18962,5776,2520,128,86
"54","IRENE INGLE PUBLIC LIBRARY","AK","CO",2127,1,0,0,0,1,269120,0,16530,1750,0,0,38000,23671,3327,605,0,12669,13936,2320,2109,20208,8074,1340,0,138
"55","FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY","AK","CI",178,1,0,0,0,0,11017,35000,1022,1201,1023,0,8227,23671,2379,717,0,0,1173,584,947,2097,0,61,0,74
"56","TUZZY CONSORTIUM LIBRARY","AK","MJ",11031,1,7,0,2,2,841640,0,27130,41794,4878,0,40395,23229,8038,1222,0,11976,17843,2232,995,13175,713,2147,0,0
"57","MOOSE PASS PUBLIC LIBRARY","AK","NL",228,1,0,0,0,0,20848,0,6848,337,483,0,6950,0,1675,0,0,0,696,313,156,671,226,67,0,99
"58","TOP OF THE KUSKOKWIM COMMUNITY/SCHOOL LIBRARY","AK","CI",89,1,0,0,0,0,14500,0,3500,0,0,0,5445,0,0,0,0,0,800,45,0,200,150,322,0,0
"59","EGEGIK VILLAGE LIBRARY","AK","NP",39,1,0,0,0,0.86,13000,0,224,0,5191,0,4337,7,1948,40,0,0,390,37,11,12,7,21,0,0
"60","TRAPPER CREEK PUBLIC LIBRARY","AK","NP",2964,1,0,0,0,0.75,230250,0,15793,0,2811,0,15079,23671,4440,1250,0,12669,3948,405,98113,9995,1782,623,0,0
"61","HOLY CROSS COMMUNITY/SCHOOL LIBRARY","AK","NP",176,1,0,0,0,0,14500,0,3500,0,0,0,6511,19515,33,0,0,11976,725,45,0,200,150,25,0,0
"62","OUZINKIE TRIBAL MEDIA CENTER","AK","CI",109,1,0,0,0,0,20635,0,1164,1500,1500,0,2370,0,855,0,0,0,1040,130,0,2080,500,572,0,0
"63","UNALASKA PUBLIC LIBRARY","AK","CO",4254,1,0,0,1,1,873821,8681981,52661,15848,10630,2595834,22668,23804,7339,0,0,12740,15479,10459,1770,37322,8181,2416,2390,90
"64","ANIAK PUBLIC LIBRARY","AK","CI",507,1,0,0,1,1,34875,0,919,200,800,0,2226,19515,604,0,0,11976,445,1,0,347,50,60,0,0
"65","HYDER PUBLIC LIBRARY","AK","NP",48,1,0,0,0,0,7000,0,276,589,1480,0,9143,0,2351,0,0,0,547,67,0,876,98,25,0,0
"66","INNOKO RIVER COMMUNITY/SCHOOL AND TRIBAL LIBRARY","AK","CI",100,1,0,0,0,0,15000,0,3500,0,0,0,4528,0,504,60,0,0,36,45,0,2500,2500,322,0,0
"67","BLACKWELL COMMUNITY/SCHOOL LIBRARY","AK","CI",70,1,0,0,0,0,15000,0,4200,0,0,0,656,41120,107,30,122,1240,200,45,0,200,150,403,0,0
